Px,Py,Pz,Vx,Vy,Vz,Tx,Ty,Tz,R_bubble,Watts
0.1898,0.0,0.0,0.004044768239596837,0.0,0.0,0.0,0.0,0.0,3.077290172536814,1500000000.0
0.194,0.0,0.0,0.0041273145302008546,0.0,0.0,0.0,0.0,0.0,3.0157443690860775,1500000000.0
0.1982,0.0,0.0,0.004211545438980464,0.0,0.0,0.0,0.0,0.0,2.955429481704356,1500000000.0
0.2025,0.0,0.0,0.004297495345898432,0.0,0.0,0.0,0.0,0.0,2.896320892070269,1500000000.0
0.2069,0.0,0.0,0.0043851993325494205,0.0,0.0,0.0,0.0,0.0,2.8383944742288634,1500000000.0
0.2114,0.0,0.0,0.0044746931964790015,0.0,0.0,0.0,0.0,0.0,2.781626584744286,1500000000.0
0.216,0.0,0.0,0.004566013465794899,0.0,0.0,0.0,0.0,0.0,2.7259940530494005,1500000000.0
0.2206,0.0,0.0,0.004659197414076428,0.0,0.0,0.0,0.0,0.0,2.6714741719884123,1500000000.0
0.2253,0.0,0.0,0.004754283075588192,0.0,0.0,0.0,0.0,0.0,2.618044688548644,1500000000.0
0.2302,0.0,0.0,0.004851309260804277,0.0,0.0,0.0,0.0,0.0,2.565683794777671,1500000000.0
0.2352,0.0,0.0,0.004950315572249263,0.0,0.0,0.0,0.0,0.0,2.5143701188821175,1500000000.0
0.2402,0.0,0.0,0.005051342420662513,0.0,0.0,0.0,0.0,0.0,2.464082716504475,1500000000.0
0.2454,0.0,0.0,0.00515443104149236,0.0,0.0,0.0,0.0,0.0,2.414801062174386,1500000000.0
0.2507,0.0,0.0,0.005259623511726898,0.0,0.0,0.0,0.0,0.0,2.366505040930898,1500000000.0
0.256,0.0,0.0,0.005366962767068264,0.0,0.0,0.0,0.0,0.0,2.31917494011228,1500000000.0
0.2615,0.0,0.0,0.005476492619457413,0.0,0.0,0.0,0.0,0.0,2.272791441310034,1500000000.0
0.267,0.0,0.0,0.005588257774956543,0.0,0.0,0.0,0.0,0.0,2.2273356124838335,1500000000.0
0.2727,0.0,0.0,0.005702303851996472,0.0,0.0,0.0,0.0,0.0,2.182788900234157,1500000000.0
